TierID_TVD;Rasse;ebv_LBEB_FUGLIEDERSTAERKE;rel_LBEB_FUGLIEDERSTAERKE;nDau_LBEB_FUGLIEDERSTAERKE;nHerd_LBEB_FUGLIEDERSTAERKE;ebv_LBEB_FUSTELLUNGVORNE;rel_LBEB_FUSTELLUNGVORNE;nDau_LBEB_FUSTELLUNGVORNE;nHerd_LBEB_FUSTELLUNGVORNE;ebv_LBEB_FUSPRUNGGELENKWINKELUNG;rel_LBEB_FUSPRUNGGELENKWINKELUNG;nDau_LBEB_FUSPRUNGGELENKWINKELUNG;nHerd_LBEB_FUSPRUNGGELENKWINKELUNG;ebv_LBEB_FUFESSELN;rel_LBEB_FUFESSELN;nDau_LBEB_FUFESSELN;nHerd_LBEB_FUFESSELN;ebv_LBEB_FUKLAUEN;rel_LBEB_FUKLAUEN;nDau_LBEB_FUKLAUEN;nHerd_LBEB_FUKLAUEN;ebv_LBEB_FOEUTERLAENGE;rel_LBEB_FOEUTERLAENGE;nDau_LBEB_FOEUTERLAENGE;nHerd_LBEB_FOEUTERLAENGE;ebv_LBEB_FOEUTERTIEFE;rel_LBEB_FOEUTERTIEFE;nDau_LBEB_FOEUTERTIEFE;nHerd_LBEB_FOEUTERTIEFE;ebv_LBEB_FOZITZENLAENGE;rel_LBEB_FOZITZENLAENGE;nDau_LBEB_FOZITZENLAENGE;nHerd_LBEB_FOZITZENLAENGE;ebv_LBEB_FOZITZENDICKE;rel_LBEB_FOZITZENDICKE;nDau_LBEB_FOZITZENDICKE;nHerd_LBEB_FOZITZENDICKE;ebv_LBEB_BEKONDITION;rel_LBEB_BEKONDITION;nDau_LBEB_BEKONDITION;nHerd_LBEB_BEKONDITION;ebv_LBEB_BESCHULTER;rel_LBEB_BESCHULTER;nDau_LBEB_BESCHULTER;nHerd_LBEB_BESCHULTER;ebv_LBEB_BELENDEN;rel_LBEB_BELENDEN;nDau_LBEB_BELENDEN;nHerd_LBEB_BELENDEN;ebv_LBEB_BESTOTZENRUNDUNG;rel_LBEB_BESTOTZENRUNDUNG;nDau_LBEB_BESTOTZENRUNDUNG;nHerd_LBEB_BESTOTZENRUNDUNG;ebv_LBEB_BESTOTZENLAENGE;rel_LBEB_BESTOTZENLAENGE;nDau_LBEB_BESTOTZENLAENGE;nHerd_LBEB_BESTOTZENLAENGE
AT000228082077;SI;108.409;0.072;1;1;99.427;0.059;1;1;91.188;0.074;1;1;92.181;0.074;1;1;116.934;0.044;1;1;128.785;0.056;1;1;73.716;0.06;1;1;108.364;0.096;1;1;109.099;0.078;1;1;89.609;0.063;1;1;87.155;0.075;1;1;82.727;0.071;1;1;60.467;0.075;1;1;87.269;0.061;1;1
AT001682132728;SI;110.212;0.068;1;1;96.079;0.055;1;1;98.602;0.07;1;1;96.816;0.07;1;1;112.329;0.041;1;1;120.669;0.052;1;1;79.2;0.056;1;1;114.971;0.091;1;1;111.069;0.073;1;1;92.014;0.059;1;1;90.825;0.071;1;1;87.951;0.067;1;1;65.788;0.07;1;1;92.277;0.057;1;1
AT002457064176;SI;106.146;0.072;1;1;101.056;0.059;1;1;90.724;0.074;1;1;93.455;0.074;1;1;116.385;0.043;1;1;127.531;0.056;1;1;77.35;0.06;1;1;111.774;0.097;1;1;110.323;0.077;1;1;85.978;0.063;1;1;82.175;0.075;1;1;78.501;0.071;1;1;55.057;0.075;1;1;83.558;0.061;1;1
AT003154315615;SI;118.805;0.209;4;3;95.396;0.173;4;3;78.445;0.211;4;3;86.863;0.211;4;3;122.838;0.126;4;3;129.605;0.166;4;3;80.638;0.176;4;3;110.152;0.265;4;3;112.544;0.219;4;3;89.177;0.183;4;3;90.55;0.215;4;3;84.776;0.205;4;3;63.999;0.215;4;3;94.12;0.176;4;3
AT003829889113;AN;112.014;0.673;16;3;116.832;0.623;16;3;97.887;0.663;16;3;99.589;0.665;16;3;107.715;0.456;16;3;110.962;0.606;16;3;104.48;0.623;16;3;103.202;0.73;16;3;93.309;0.672;16;3;103.576;0.625;16;3;91.803;0.681;16;3;87.636;0.667;16;3;51.724;0.682;16;3;104.178;0.599;16;3
AT004465734119;SI;105.174;0.076;1;1;92.478;0.062;1;1;97.88;0.078;1;1;87.748;0.078;1;1;115.094;0.046;1;1;132.672;0.059;1;1;87.828;0.063;1;1;100.98;0.102;1;1;108.25;0.082;1;1;88.383;0.067;1;1;83.089;0.079;1;1;78.621;0.075;1;1;51.877;0.079;1;1;86.132;0.064;1;1
AT004945154116;AN;112.995;0.701;29;7;76.092;0.65;29;7;100.637;0.689;29;7;100.804;0.692;29;7;111.857;0.467;29;7;111.303;0.631;29;7;89.038;0.649;29;7;102.09;0.76;29;7;105.946;0.7;29;7;107.846;0.649;29;7;99.342;0.703;29;7;104.187;0.691;29;7;74.639;0.707;29;7;111.019;0.619;29;7
AT005129891476;SI;111.159;0.158;3;2;94.273;0.13;3;2;94.995;0.161;3;2;94.436;0.161;3;2;117.386;0.095;3;2;128.327;0.124;3;2;84.887;0.133;3;2;106.097;0.206;3;2;106.568;0.168;3;2;91.249;0.138;3;2;92.966;0.164;3;2;89.595;0.156;3;2;63.771;0.163;3;2;94.996;0.133;3;2
AT005267796473;SI;107.943;0.156;3;2;97.202;0.128;3;2;96.49;0.159;3;2;93.848;0.159;3;2;111.299;0.094;3;2;127.172;0.122;3;2;77.901;0.131;3;2;112.473;0.203;3;2;111.275;0.165;3;2;85.892;0.136;3;2;83.685;0.161;3;2;80.357;0.153;3;2;56.386;0.161;3;2;85.353;0.131;3;2
AT005352595479;SI;109.206;0.066;1;1;94.594;0.054;1;1;98.436;0.068;1;1;96.265;0.068;1;1;116.963;0.04;1;1;131.2;0.051;1;1;78.87;0.055;1;1;107.525;0.088;1;1;108.501;0.071;1;1;88.037;0.058;1;1;89.46;0.069;1;1;85.97;0.065;1;1;62.36;0.068;1;1;91.691;0.056;1;1
